client_id,client_name,investment_director,institution_type,city,state,country,region,assets,security
1184,Best Friends Animal Society,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,42954,Standard
2360,Hermiston-Harber,Toby Maxwell,Family,New York,New York,United States,United States,4160,High
2045,"Kassulke, Hickle and Pfannerstill",Lisa Carlson,Family,Jeddah,,Saudi Arabia,Middle East & Africa,0,High
1646,Big Brothers Big Sisters of America,Arthur Medina,Foundation,Honolulu,Hawaii,United States,United States,91707,Standard
2520,Crooks and Sons,Estelle Rowe,Corporation,St Peter Port,,Guernsey,United Kingdom,0,High
51,Kuhn-Krajcik,Herman Vega,Cultural & Environmental,Atlanta,Georgia,United States,United States,78207,Standard
754,"Leffler, Pagac and Farrell",Kenneth Boone,Insurance Company,Hamilton,,Bermuda,United States,1906728,Medium
739,Green Group,Kenneth Boone,Independent School,San Antonio,Texas,United States,United States,146595,Standard
2353,Hane-Gorczany,Diane McGuire,Government,Sydney,,Australia,Australia-NZ,1664,Standard
1462,Tromp-Krajcik,Toby Maxwell,Family,Los Angeles,California,United States,United States,11860,High
2576,Mann Ltd,Joshua Lam,Corporation,,,Singapore,China,1040000,Standard
1454,Murphy-Goyette,Lena Goodwin,Special Purpose Trust,Washington,District of Columbia,United States,United States,401163,Standard
1133,Torphy and Sons,Darryl Mitchell,Family,St. Helier,,Jersey,Europe ex UK,157263,High
24,Bullock County Hospital,Cory Little,Hospital,Norwich,Connecticut,United States,United States,34632,Standard
1889,"Schneider, Erdman and Schulist",Estelle Rowe,Corporation,Farnborough,,United Kingdom,United Kingdom,19972,Medium
1577,"Parker, Ryan and Wisoky",Estelle Rowe,Corporation,Hampshire,,United Kingdom,United Kingdom,519693,Medium
1576,Action Against Hunger,Estelle Rowe,Corporation,Hampshire,,United Kingdom,United Kingdom,204571,Medium
2556,"Wilkinson, Hagenes and Brakus",Darryl Mitchell,Family,St. Helier,,Jersey,United Kingdom,75400,High
1751,Bilqees Sarwar Foundation,Arthur Medina,Foundation,Baltimore,Maryland,United States,United States,143471,Standard
1417,Grimes-Buckridge,Toby Maxwell,Family,Boston,Massachusetts,United States,United States,119850,High
2519,Bloomberg Philanthropies,Arthur Medina,Foundation,Boston,Massachusetts,United States,United States,0,High
1130,Bogisich-Zboncak,Estelle Rowe,Corporation,Dorset,,United Kingdom,United Kingdom,2489793,High
1527,Smith and Sons,Toby Maxwell,Family,New York,New York,United States,United States,93600,High
1942,Gleichner LLC,Lisa Carlson,Family,Sydney Nsw,,Australia,Australia-NZ,0,High
2199,Herzog-Wiza,Lisa Carlson,Family,Sydney Nsw,,Australia,Australia-NZ,312000,High
2017,Alfred University,Lena Goodwin,Special Purpose Trust,Kansas City,Missouri,United States,United States,53324,Standard
1281,Born This Way Foundation,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,369337,Standard
1162,"Hilpert, Gleason and Eichmann",Darryl Mitchell,Family,Hertforshire,,United Kingdom,United Kingdom,146624,High
1000,Bridgewater College,Hope Walsh,College & University,Lewiston,Maine,United States,United States,245221,Standard
1475,Buena Vista University,Alexander Simmons,College & University,Bath,,United Kingdom,United Kingdom,15600,Standard
2403,"Konopelski, Will and Beatty",Herman Vega,Cultural & Environmental,Columbus,Ohio,United States,United States,176800,Standard
1656,"Heathcote, Carter and Kohler",Toby Maxwell,Family,Morristown,New Jersey,United States,United States,657386,High
1658,Boehm-Prosacco,Toby Maxwell,Family,Morristown,New Jersey,United States,United States,27886,High
2559,Boys & Girls Clubs of America,Glenn Lloyd,Foundation,Tauranga,,New Zealand,Australia-NZ,208000,Standard
2596,Heidenreich Group,Toby Maxwell,Family,Columbus,Georgia,United States,United States,520000,High
1916,Campbell University,Hope Walsh,College & University,Waco,Texas,United States,United States,1199066,Standard
1595,Harris PLC,Kenneth Boone,Insurance Company,Springfield,Massachusetts,United States,United States,113511,Standard
1571,Georgiana Medical Center,Cory Little,Hospital,Springfield,Massachusetts,United States,United States,1109886,Standard
2222,Wiegand-Bradtke,Toby Maxwell,Family,Bentonville,Arkansas,United States,United States,0,High
1391,Mohr-Mayer,Toby Maxwell,Family,Denver,Colorado,United States,United States,1040000,High
2688,"Wisoky, Skiles and Bechtelar",Toby Maxwell,Family,Denver,Colorado,United States,United States,0,High
2463,Bremen Overseas Research and Development Association,Arthur Medina,Foundation,Larkspur,California,United States,United States,93600,High
30,British Heart Foundation,Arthur Medina,Foundation,Pittsburgh,Pennsylvania,United States,United States,374666,Standard
1304,"Koch, Pfannerstill and Hills",Toby Maxwell,Family,Buffalo Grove,Illinois,United States,United States,564306,High
1659,"Buckridge, Frami and Orn",Toby Maxwell,Family,Chicago,Illinois,United States,United States,50252,High
555,Carlow College,Hope Walsh,College & University,Waltham,Massachusetts,United States,United States,292882,Standard
1321,Carson-Newman College,Hope Walsh,College & University,Berkeley,California,United States,United States,1998445,Standard
2086,Kirlin-O'Keefe,Darryl Mitchell,Family,Grand Cayman,,Cayman Islands,Europe ex UK,26982,High
589,Carthage College,Hope Walsh,College & University,Daytona Beach,Florida,United States,United States,38408,Standard
2005,Carter Center,Arthur Medina,Foundation,Springdale,Arkansas,United States,United States,25427,High
2297,"Lemke, Cummings and Hettinger",Darryl Mitchell,Family,St. Helier,,Jersey,Europe ex UK,1352000,High
1749,"Daugherty, Blick and Nader",Erik Alvarez,Religious Institution,Charlotte,North Carolina,United States,United States,173675,Standard
1834,Leuschke-Kemmer,Frank Garner,Corporation,Boston,Massachusetts,United States,United States,17,Standard
1695,Catholic Charities USA,Arthur Medina,Foundation,Beverly Hills,California,United States,United States,83200,High
1083,"Green, Stiedemann and Murray",Toby Maxwell,Family,Beverly Hills,California,United States,United States,31345,High
1870,Kuvalis and Sons,Toby Maxwell,Family,Washington,District of Columbia,United States,United States,131309,High
2178,Schmidt Inc,Toby Maxwell,Family,Vancouver,British Columbia,Canada,Canada,3796333,High
2455,Mueller Group,Kenneth Boone,Independent School,Minneapolis,Minnesota,United States,United States,79470,Standard
1924,Trantow and Sons,Toby Maxwell,Family,San Francisco,California,United States,United States,314157,High
2640,Yundt-Cremin,Darryl Mitchell,Family,Tortola,,"Virgin Islands, British",Europe ex UK,3848000,High
2047,Daniel-Rowe,Toby Maxwell,Family,Montreal,Quebec,Canada,Canada,103645,High
2227,Graham LLC,Darryl Mitchell,Family,Luxembourg,,Luxembourg,Europe ex UK,47384,High
1245,Ball State University,Kenneth Boone,Insurance Company,Wilkes-Barre,Pennsylvania,United States,United States,180132,Standard
270,Child In Need Institute,Arthur Medina,Foundation,Charlottesville,Virginia,United States,United States,201642,Standard
2558,"Auer, Yost and Johnson",Toby Maxwell,Family,Houston,Texas,United States,United States,208000,High
1356,Bradtke-Blick,Toby Maxwell,Family,San Diego,California,United States,United States,150742,High
1641,Hammes-Hintz,Lisa Carlson,Family,Wanchai,,Hong Kong,China,5876,High
2025,"Padberg, Gutkowski and Schaden",Lisa Carlson,Family,Wanchai,,Hong Kong,China,6590,High
2409,L V Stabler Memorial Hospital,Cory Little,Hospital,Valhalla,New York,United States,United States,104000,Standard
2402,Child's Dream Foundation,Glenn Lloyd,Foundation,Fortitude Valle,,Australia,Australia-NZ,208000,Standard
2552,Mayert-Weissnat,Diane McGuire,Government,Croydon,,United Kingdom,United Kingdom,30160000,Standard
1425,Monahan LLC,Frank Garner,Corporation,Chicago,Illinois,United States,United States,0,Standard
1544,Howe-Schmitt,Herman Vega,Cultural & Environmental,Boston,Massachusetts,United States,United States,84945,Standard
521,Castleton State University,Hope Walsh,College & University,Chestnut Hill,Massachusetts,United States,United States,2604888,Standard
1305,Heidenreich Group,Kenneth Boone,Independent School,Boston,Massachusetts,United States,United States,83823,Standard
699,Parisian-Green,Toby Maxwell,Family,New York,New York,United States,United States,260000,High
47,South Baldwin Regional Medical Center,Erik Alvarez,Member Organization,Boston,Massachusetts,United States,United States,54532,Standard
7,"Sporer, Flatley and Gislason",Herman Vega,Cultural & Environmental,Boston,Massachusetts,United States,United States,602132,Standard
87,Cedarville College,Hope Walsh,College & University,Boston,Massachusetts,United States,United States,2226465,High
40,Central College,Hope Walsh,College & University,Brunswick,Maine,United States,United States,1718070,Standard
1059,Oberbrunner-Pollich,Erik Alvarez,Member Organization,Boston,Massachusetts,United States,United States,17645,Standard
477,Hagenes-Kling,Erik Alvarez,Member Organization,Atlanta,Georgia,United States,United States,290411,Standard
42,Jacobs Inc,Erik Alvarez,Member Organization,Boys Town,Nebraska,United States,United States,978074,Standard
2107,"Grant, Altenwerth and Wilkinson",Estelle Rowe,Corporation,London,,United Kingdom,United Kingdom,19760000,Standard
1630,Braun Ltd,Erik Alvarez,Member Organization,Los Angeles,California,United States,United States,104372,Standard
398,Children International,Arthur Medina,Foundation,Seattle,Washington,United States,United States,39634,Standard
1011,Chadron State College,Hope Walsh,College & University,Waltham,Massachusetts,United States,United States,978520,Standard
2,Chapman University,Alexander Simmons,College & University,Oxford,,United Kingdom,United Kingdom,68587,Standard
43,"Champlin, Watsica and Hamill",Kenneth Boone,Independent School,New York,New York,United States,United States,143440,Standard
980,Northeast Alabama Regional Medical Center,Cory Little,Hospital,Bedford,New Hampshire,United States,United States,11490,Standard
1263,"Schinner, Brown and Legros",Darryl Mitchell,Family,1000 He,,Netherlands,Europe ex UK,113916,High
1500,Rmc Jacksonville,Cory Little,Hospital,Bridgeport,Connecticut,United States,United States,165375,Standard
56,Stringfellow Memorial Hospital,Cory Little,Hospital,Bridgeport,Connecticut,United States,United States,173847,Standard
1535,Hirthe-Langworth,Darryl Mitchell,Family,Tortola,,"Virgin Islands, British",Europe ex UK,662872,High
1474,American Red Cross,Estelle Rowe,Corporation,Bristol,,United Kingdom,United Kingdom,77141,Standard
2179,Stiedemann-Spinka,Estelle Rowe,Corporation,Sheffield,,United Kingdom,United Kingdom,0,Standard
2440,Artforum Culture Foundation,Diane McGuire,Government,Victoria,British Columbia,Canada,Canada,0,Standard
1054,"Daniel, Crona and Schumm",Diane McGuire,Government,Cheshire,,United Kingdom,United Kingdom,4368000,Unknown
1699,Children's Defense Fund,Arthur Medina,Foundation,Los Angeles,California,United States,United States,2184000,Standard
1606,MacGyver Inc,Toby Maxwell,Family,Boston,Massachusetts,United States,United States,63581,High
1380,Emmerich-Kautzer,Darryl Mitchell,Family,Dorset,,United Kingdom,United Kingdom,208000,High
45,"Von, White and Botsford",Erik Alvarez,Member Organization,Washington,District of Columbia,United States,United States,392233,Standard
50,Cheyney University,Hope Walsh,College & University,Providence,Rhode Island,United States,United States,4003566,Standard
2456,McLaughlin LLC,Darryl Mitchell,Family,9490 Vaduz,,Liechtenstein,Europe ex UK,0,High
1777,Reinger LLC,Toby Maxwell,Family,Detroit,Michigan,United States,United States,467408,High
59,Christian Brothers University,Hope Walsh,College & University,Smithfield,Rhode Island,United States,United States,181745,Standard
60,Christopher Newport University,Hope Walsh,College & University,Bryn Mawr,Pennsylvania,United States,United States,942592,Standard
1496,Black Hills State University,Kenneth Boone,Independent School,Cambridge,Massachusetts,United States,United States,79012,Standard
2080,Children's Miracle Network Hospitals,Arthur Medina,Foundation,Houston,Texas,United States,United States,28526,Standard
1841,Atlantic Philanthropies,Kenneth Boone,Insurance Company,Grand Cayman,,Cayman Islands,United States,24734,High
1137,The Citizens Foundation,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,101484,Standard
1314,Cronin-Schultz,Darryl Mitchell,Family,St. Helier,,Jersey,United Kingdom,131383,High
1784,Clinton Foundation,Arthur Medina,Foundation,St. Paul,Minnesota,United States,United States,1029774,Standard
1451,Comenius Foundation for Child Development,Arthur Medina,Foundation,Great Neck,New York,United States,United States,145600,Standard
2018,Clark University,Hope Walsh,College & University,Storm Lake,Iowa,United States,United States,130067,Standard
2158,Nienow and Sons,Euduardo Munoz,Family,Sao Paulo,So Paulo,Brazil,Latin America,0,High
1351,Barrows-Schaden,Toby Maxwell,Family,Palo Alto,California,United States,United States,0,High
63,"Towne, Ferry and Pagac",Herman Vega,Cultural & Environmental,San Francisco,California,United States,United States,171271,Standard
2182,Schulist-Langosh,Herman Vega,Cultural & Environmental,San Francisco,California,United States,United States,183969,Standard
64,Confetti Foundation,Arthur Medina,Foundation,Los Angeles,California,United States,United States,123219,Standard
646,Conrad N. Hilton Foundation,Arthur Medina,Foundation,Los Angeles,California,United States,United States,3877737,Standard
1789,Counterpart International,Arthur Medina,Foundation,Oakland,California,United States,United States,717477,Standard
70,Coe College,Hope Walsh,College & University,Pasadena,California,United States,United States,2972216,Standard
909,Jacobi-Stoltenberg,Kenneth Boone,Insurance Company,San Francisco,California,United States,United States,4680000,Standard
1230,Bharat Sevashram Sangha,Diane McGuire,Government,West Sacramento,California,United States,United States,194064000,Standard
2502,Cystic Fibrosis Foundation,Arthur Medina,Foundation,Woodland Hills,California,United States,United States,992977,Standard
560,Coker College,Hope Walsh,College & University,Oakland,California,United States,United States,12803617,Standard
1702,David and Lucile Packard Foundation,Rufus Bailey,Foundation,Lisboa,,Portugal,Europe ex UK,2600000,Standard
1295,Bergnaum-Macejkovic,Diane McGuire,Government,Sacramento,California,United States,United States,306800000,Standard
714,David Suzuki Foundation,Rufus Bailey,Foundation,Zug,,Switzerland,Europe ex UK,611186,High
1687,Colgate University,Alexander Simmons,College & University,Cambridge,,United Kingdom,United Kingdom,623640,Standard
1023,Coppin State College,Alexander Simmons,College & University,Cambridge,,United Kingdom,United Kingdom,275460,Standard
2202,Anderson and Sons,Diane McGuire,Government,Toronto,Ontario,Canada,Canada,0,Standard
1318,"Ullrich, Purdy and Heathcote",Toby Maxwell,Family,Montreal,Quebec,Canada,Canada,30737,High
1145,Jackson Medical Center,Cory Little,Hospital,Hyannis,Massachusetts,United States,United States,337372,Standard
2598,Bill & Melinda Gates Foundation,Estelle Rowe,Corporation,Leatherhead,,United Kingdom,United Kingdom,1147952,Standard
466,Grove Hill Memorial Hospital,Cory Little,Hospital,,South Carolina,United States,United States,231614,Standard
402,Grant-Braun,Frank Garner,Corporation,Boston,Massachusetts,United States,United States,337417,Standard
386,Calvin College,Frank Garner,Corporation,Boston,Massachusetts,United States,United States,1800599,Standard
1354,"Schmidt, Jacobi and Turcotte",Toby Maxwell,Family,Houston,Texas,United States,United States,63650,High
75,Curry College,Hope Walsh,College & University,Minneapolis,Minnesota,United States,United States,973535,Standard
76,Edhi Foundation,Arthur Medina,Foundation,New York,New York,United States,United States,3678208,Standard
77,Epilepsy Outlook,Arthur Medina,Foundation,Washington,District of Columbia,United States,United States,1035599,Standard
413,Daemen College,Hope Walsh,College & University,Pittsburgh,Pennsylvania,United States,United States,2322126,Standard
2078,Walter-Kilback,Toby Maxwell,Family,Simpsonville,Kentucky,United States,United States,50136,High
80,Dana College,Hope Walsh,College & University,Cleveland,Ohio,United States,United States,1597953,Standard
1175,Eye Care Foundation,Arthur Medina,Foundation,Baltimore,Maryland,United States,United States,2846980,Standard
567,Canisius College,Kenneth Boone,Independent School,Palo Alto,California,United States,United States,55362,Standard
1939,"Bernier, Fritsch and Rice",Toby Maxwell,Family,Cincinnati,Ohio,United States,United States,105814,High
348,"Bins, Runolfsdottir and Cummerata",Erik Alvarez,Religious Institution,Chicago,Illinois,United States,United States,250553,Standard
1675,Collier and Sons,Darryl Mitchell,Family,Hamilton,,Bermuda,Europe ex UK,358354,High
683,Ritchie and Sons,Darryl Mitchell,Family,George Town,,Cayman Islands,Europe ex UK,2014480,High
1866,Hackett-Feeney,Toby Maxwell,Family,Richmond,Virginia,United States,United States,228800,High
83,Carroll College,Kenneth Boone,Insurance Company,Hamilton,,Bermuda,United States,400710,Standard
2560,FINCA International,Arthur Medina,Foundation,Wilmington,Delaware,United States,United States,135200,High
1627,Bergstrom LLC,Toby Maxwell,Family,Boston,Massachusetts,United States,United States,78000,High
2542,Medical Center Enterprise,Cory Little,Hospital,Los Angeles,California,United States,United States,2392000,Standard
2037,Food Allergy Initiative,Arthur Medina,Foundation,San Francisco,California,United States,United States,72546,Standard
1095,Wilkinson-Stamm,Lena Goodwin,Special Purpose Trust,Wilmington,Delaware,United States,United States,492499,Standard
2473,Rolfson LLC,Euduardo Munoz,Family,Nassau,,Bahamas,Latin America,104000,High
628,Davidson College,Hope Walsh,College & University,Shreveport,Louisiana,United States,United States,130266,Standard
2201,Davis & Elkins College,Hope Walsh,College & University,Shreveport,Louisiana,United States,United States,138161,Standard
1590,Central Methodist College,Erik Alvarez,Member Organization,New York,New York,United States,United States,44667,Standard
1484,Shoals Hospital,Cory Little,Hospital,Bronx,New York,United States,United States,48787,Standard
1731,Helen Keller Memorial Hospital,Cory Little,Hospital,New Britain,Connecticut,United States,United States,273520,Standard
1729,The Foundation for a Better Life,Arthur Medina,Foundation,Indianapolis,Indiana,United States,United States,207835,Standard
1398,Jenkins LLC,Toby Maxwell,Family,New York,New York,United States,United States,520000,High
1170,Denison University,Hope Walsh,College & University,Orange,California,United States,United States,362395,Standard
688,Rippin-Farrell,Toby Maxwell,Family,Beverly Hills,California,United States,United States,843927,High
2375,Foundation for Child Development,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,140400,Standard
1101,"Mante, Boyer and Spinka",Toby Maxwell,Family,Indianapolis,Indiana,United States,United States,237590,High
1029,"Blick, Goldner and Wisoky",Toby Maxwell,Family,Charlotte,North Carolina,United States,United States,55156,High
1578,The Fred Hollows Foundation,Rufus Bailey,Foundation,Rugby,,United Kingdom,United Kingdom,113701,Standard
1455,Fremont Area Community Foundation,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,22426,High
1756,Fund for Reconciliation and Development,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,20439,Standard
1135,Raynor Inc,Toby Maxwell,Family,Chestnut Hill,Massachusetts,United States,United States,774599,High
439,Evergreen Medical Center,Cory Little,Hospital,Chicago,Illinois,United States,United States,461448,Standard
104,Children of Peace International,Herman Vega,Cultural & Environmental,Chicago,Illinois,United States,United States,244852,Standard
570,DePaul University,Hope Walsh,College & University,Chicago,Illinois,United States,United States,8485523,Standard
2414,Floyd Cherokee Medical Center,Diane McGuire,Government,Ada,Oklahoma,United States,United States,104000,Standard
1930,Johnston Inc,Diane McGuire,Government,Sydney Nsw,,Australia,Australia-NZ,344432,Standard
564,Macejkovic Inc,Erik Alvarez,Member Organization,Richmond,Virginia,United States,United States,26626,Standard
1193,"Boyer, Beahan and Koelpin",Erik Alvarez,Member Organization,New York,New York,United States,United States,218400,Standard
1202,Garfield Weston Foundation,Arthur Medina,Foundation,Washington,District of Columbia,United States,United States,20410,Standard
216,Mizell Memorial Hospital,Cory Little,Hospital,Atlanta,Georgia,United States,United States,5029179,Standard
2408,Andalusia Health,Cory Little,Hospital,Milwaukee,Wisconsin,United States,United States,696800,Standard
110,Crenshaw Community Hospital,Cory Little,Hospital,Boston,Massachusetts,United States,United States,3918147,Standard
105,Cullman Regional Medical Center,Cory Little,Hospital,Los Angeles,California,United States,United States,630797,Standard
136,Dale Medical Center,Cory Little,Hospital,Philadelphia,Pennsylvania,United States,United States,2969272,Standard
2444,George S. and Dolores Dor Eccles Foundation,Rufus Bailey,Foundation,London,,United Kingdom,United Kingdom,5055008,Standard
