user_id,website,answers,insights,market,obm,opd,ors_private,ors_public,PIOS,MMOS
130,,,yes,yes,,,,,,
132,yes,,,,,,,,,
133,yes,yes,yes,yes,yes,yes,yes,,yes,yes
134,yes,yes,yes,yes,yes,,yes,yes,,
135,yes,yes,yes,yes,yes,yes,,,yes,yes
136,,,yes,,,,,,,
137,yes,yes,yes,yes,,,,,yes,yes
138,,yes,yes,yes,,,,,,
139,yes,yes,yes,yes,,,yes,yes,,
140,yes,,,,yes,,,,,
142,yes,yes,,yes,yes,,,,yes,yes
144,yes,yes,yes,yes,,,,,yes,yes
146,,yes,yes,yes,,,,,,
147,yes,,,,yes,,,,yes,yes
149,yes,yes,yes,yes,,,,,yes,yes
150,,yes,yes,yes,,,,,,
151,yes,yes,yes,yes,yes,,yes,yes,yes,yes
152,yes,yes,yes,yes,yes,,,,yes,yes
153,,yes,yes,yes,,,,,,
154,yes,yes,yes,yes,yes,,yes,yes,yes,yes
156,yes,,,,yes,,,,,
157,yes,yes,yes,yes,,,,,,
158,yes,,,,yes,,yes,yes,,
160,yes,,,,yes,,,,,
161,yes,yes,yes,yes,,,yes,,,
162,yes,,,,,,,,,
164,,yes,yes,yes,,,,,,
165,yes,yes,yes,yes,yes,,yes,yes,yes,yes
166,yes,,,,yes,,yes,yes,yes,yes
168,yes,,,yes,,,,,,
169,,yes,yes,yes,,,,,,
170,yes,yes,yes,yes,yes,,,,yes,yes
171,yes,yes,yes,yes,yes,,yes,,yes,yes
175,yes,yes,yes,yes,,,,,yes,yes
176,yes,yes,yes,yes,,,,,yes,yes
177,yes,yes,yes,yes,,,,,yes,yes
178,yes,yes,yes,yes,,,,,yes,yes
179,yes,yes,yes,yes,,,,,yes,yes
180,yes,,,,,,,,yes,yes
181,yes,yes,yes,yes,,,,,yes,yes
182,yes,,,,yes,,,,,
183,,yes,yes,yes,,,,,,
184,yes,yes,yes,yes,yes,,yes,yes,yes,yes
186,,yes,yes,yes,,,,,,
188,,yes,yes,yes,,,,,,
191,yes,,,,,,,,yes,yes
192,,yes,yes,yes,,,,,,
194,yes,,,,yes,,yes,,yes,yes
195,,yes,yes,yes,,,,,,
196,,yes,yes,yes,,,,,,
197,yes,yes,yes,yes,yes,,yes,,yes,yes
198,,yes,yes,yes,,,,,,
199,yes,yes,yes,yes,,,,,yes,yes
200,yes,,,,yes,,yes,,yes,yes
203,yes,,,yes,yes,,,,yes,yes
204,,yes,yes,yes,,,,,,
206,,yes,yes,yes,,,,,,
207,yes,yes,yes,yes,yes,yes,,,yes,yes
209,yes,yes,yes,yes,,,,,yes,yes
210,yes,yes,yes,yes,,,yes,yes,yes,yes
212,,yes,yes,yes,,,,,,
213,,yes,yes,yes,,,,,,
216,,yes,yes,yes,,,,,,
217,yes,yes,,yes,,,,,yes,yes
218,yes,yes,yes,yes,,,yes,yes,yes,yes
219,yes,yes,yes,yes,yes,,yes,,,
220,,yes,yes,yes,,,,,,
221,yes,,,,yes,,,,,
222,yes,yes,yes,yes,yes,,yes,,yes,yes
223,yes,yes,yes,yes,,,yes,,yes,yes
224,yes,yes,yes,yes,,,,,,
225,yes,yes,yes,yes,yes,,,,,
226,yes,yes,yes,yes,yes,,,,,
227,yes,yes,yes,yes,,,,,yes,yes
233,yes,,,yes,,,,,yes,yes
235,yes,yes,yes,yes,,,,,yes,yes
237,yes,yes,,yes,,,,,yes,yes
239,,yes,yes,yes,,,,,,
241,yes,yes,yes,yes,yes,,,,yes,yes
243,yes,yes,yes,yes,,,,,yes,yes
245,,yes,yes,yes,,,,,,
248,yes,yes,yes,yes,,,,,yes,yes
249,,yes,yes,yes,,,,,,
250,yes,yes,yes,yes,,,,yes,yes,yes
251,yes,yes,yes,yes,,,yes,yes,,
253,,yes,yes,yes,,,,,,
254,yes,,,,,,,,,
255,,yes,yes,yes,,,,,,
257,yes,yes,yes,yes,,,,,yes,yes
260,yes,yes,yes,yes,,,,,yes,yes
264,yes,,,,yes,,,,,
266,yes,yes,yes,yes,,,,,yes,yes
267,,yes,yes,yes,,,,,,
269,yes,yes,yes,yes,,,,,yes,yes
271,,yes,yes,yes,,,,,,
273,yes,yes,yes,yes,,,,,yes,yes
274,,yes,yes,yes,,,,,,
275,,yes,yes,yes,,,,,,
276,yes,yes,yes,yes,,,,,,
279,yes,yes,,yes,,,,,yes,yes
286,,yes,yes,yes,,,,,,
287,,yes,yes,yes,,,,,,
289,,yes,,yes,,,,,,
290,yes,,,,yes,,yes,yes,yes,yes
294,yes,,,,,,,,yes,yes
295,,yes,,yes,,,,,,
299,yes,yes,yes,yes,yes,,yes,yes,yes,yes
301,,yes,yes,yes,,,,,,
302,yes,yes,,yes,,,,,yes,yes
303,yes,yes,yes,yes,,,,,,
305,,yes,yes,yes,,,,,,
307,yes,yes,yes,yes,,,,,,
309,,yes,yes,yes,,,,,,
310,,yes,,yes,,,,,,
314,yes,yes,yes,yes,yes,,,,yes,yes
316,,yes,yes,yes,,,,,,
317,,yes,yes,yes,,,,,,
319,yes,yes,yes,yes,,,,,yes,yes
324,yes,yes,yes,yes,,,,,yes,yes
325,,yes,,yes,,,,,,
327,yes,yes,yes,yes,,,yes,,,
328,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
330,,yes,yes,yes,,,,,,
334,,yes,yes,yes,,,,,,
335,,yes,yes,yes,,,,,,
336,,yes,,yes,,,,,,
337,,yes,yes,yes,,,,,,
338,yes,yes,yes,yes,yes,,,,,
340,yes,yes,yes,yes,yes,,yes,yes,,
341,yes,yes,yes,yes,,,,,,
343,yes,,,yes,,,yes,yes,yes,yes
346,yes,yes,yes,yes,,,,yes,,
347,yes,,,,,,,,,
348,,yes,yes,yes,,,,,,
350,yes,yes,yes,yes,yes,yes,,yes,yes,yes
351,,yes,yes,yes,,,,,,
352,yes,yes,yes,yes,yes,,yes,yes,,
354,yes,yes,yes,yes,,yes,,,yes,yes
355,yes,yes,yes,yes,,,,,yes,yes
358,yes,,,,yes,,,,,
359,yes,yes,yes,yes,,,,,yes,yes
361,,yes,yes,yes,,,,,,
364,yes,yes,yes,yes,yes,,yes,,yes,yes
365,yes,yes,yes,yes,,,,,,
367,yes,yes,yes,yes,yes,yes,,,,
368,yes,yes,yes,yes,,,,yes,yes,yes
369,,yes,yes,yes,,,,,,
371,,yes,yes,yes,,,,,,
372,,yes,yes,yes,,,,,,
373,,yes,yes,yes,,,,,,
379,,yes,yes,yes,,,,,,
380,yes,,,,,,,,yes,yes
383,yes,,,yes,yes,,,,yes,yes
384,yes,yes,yes,yes,,,,,yes,yes
385,yes,yes,,yes,,,,,yes,yes
386,yes,yes,yes,yes,,,,,yes,yes
388,yes,,,,yes,,,,,
389,yes,yes,yes,yes,yes,,yes,,yes,yes
390,,yes,yes,yes,,,,,,
392,,,yes,yes,,,,,,
393,,yes,yes,yes,,,,,,
394,yes,yes,,,,,,,yes,yes
395,,yes,yes,yes,,,,,,
397,,yes,yes,yes,,,,,,
399,,yes,,yes,,,,,,
400,yes,,,,,,,,,
404,yes,,,,yes,,,,,
409,yes,,,,,,,,,
410,yes,yes,yes,yes,yes,,,,yes,yes
411,yes,yes,yes,yes,,,,,yes,yes
412,,yes,yes,yes,,,,,,
413,yes,yes,yes,yes,yes,,yes,yes,yes,yes
416,yes,yes,yes,yes,yes,,,,,
417,yes,yes,yes,yes,yes,,yes,yes,yes,yes
418,yes,yes,yes,yes,,,,,yes,yes
420,,yes,yes,yes,,,,,,
421,,yes,yes,yes,,,,,,
422,,yes,yes,yes,,,,,,
423,yes,yes,yes,yes,,,,,yes,yes
426,,yes,,yes,,,,,,
428,,yes,yes,yes,,,,,,
429,yes,,,yes,,,,,yes,yes
436,yes,,,,,,yes,,yes,yes
437,yes,yes,yes,yes,yes,,,,yes,yes
438,yes,yes,yes,yes,yes,,yes,,yes,yes
439,,yes,yes,yes,,,,,,
440,,yes,yes,yes,,,,,,
443,,yes,yes,yes,,,,,,
444,,yes,,yes,,,,,,
445,yes,yes,yes,yes,,yes,,,yes,yes
447,,yes,yes,yes,,,,,,
449,yes,yes,yes,yes,,,,,yes,yes
453,yes,yes,yes,yes,yes,yes,yes,,yes,yes
454,,yes,yes,yes,,,,,,
456,yes,yes,yes,yes,,,,,,
457,yes,,,,,,,,,
458,,yes,yes,yes,,,,,,
460,yes,yes,yes,yes,,,,,,
461,yes,yes,yes,yes,,,,,,
462,yes,yes,yes,yes,,,,,yes,yes
465,yes,yes,yes,yes,yes,,,,yes,yes
467,,yes,yes,yes,,,,,,
468,yes,yes,yes,yes,yes,,,,yes,yes
470,yes,yes,yes,yes,,,,,yes,yes
471,yes,yes,yes,yes,,,,,yes,yes
474,yes,yes,yes,yes,,yes,,,yes,yes
477,yes,yes,yes,yes,yes,,,,yes,yes
478,yes,yes,yes,yes,,,,,yes,yes
479,yes,yes,yes,yes,yes,,,,yes,yes
480,yes,yes,yes,yes,,,,,yes,yes
481,yes,yes,yes,yes,,,,,yes,yes
483,yes,yes,yes,yes,,,,,yes,yes
485,yes,yes,yes,yes,,,,,yes,yes
486,yes,yes,yes,yes,yes,,yes,,yes,yes
491,yes,yes,yes,yes,,,,,yes,yes
492,yes,yes,yes,yes,,,,,yes,yes
499,yes,yes,yes,yes,yes,,,,yes,yes
500,,yes,yes,yes,,,,,,
501,yes,yes,yes,yes,,,,,yes,yes
502,yes,,,,,,,,yes,yes
503,,yes,yes,yes,,,,,,
504,yes,,,,yes,,,,,
506,yes,,yes,yes,,,,,,
514,yes,yes,yes,yes,yes,,yes,yes,yes,yes
515,yes,yes,yes,yes,,,,,yes,yes
517,yes,yes,yes,yes,,,,,,
518,yes,yes,yes,yes,,,,,yes,yes
519,yes,yes,yes,yes,yes,,,,yes,yes
520,yes,,,yes,,,,,,
523,yes,yes,yes,yes,yes,,yes,yes,yes,yes
524,yes,,,,yes,,yes,yes,yes,yes
525,yes,,,,,,,,yes,yes
526,yes,yes,yes,yes,,,,,,
527,yes,yes,yes,yes,,yes,,,yes,yes
534,,yes,,yes,,,,,,
535,yes,yes,yes,yes,yes,,yes,,yes,yes
536,yes,,,,yes,,,,,
546,yes,yes,yes,yes,yes,,yes,,yes,yes
547,yes,,,,yes,,,,,
548,yes,yes,yes,yes,yes,,yes,,yes,yes
549,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
550,yes,yes,yes,yes,yes,yes,,,,
551,yes,yes,yes,yes,,,,,yes,yes
552,,yes,yes,yes,,,,,,
553,yes,,,,,,,,,
555,yes,yes,yes,yes,,,,,yes,yes
556,yes,yes,yes,yes,yes,yes,,,yes,yes
557,yes,,yes,yes,,,,,yes,yes
558,,yes,yes,yes,,,,,,
561,,yes,yes,yes,,,,,,
562,yes,yes,yes,yes,yes,,yes,yes,yes,yes
564,yes,yes,yes,yes,,,,,,
565,yes,yes,yes,yes,,,,,yes,yes
569,,yes,yes,yes,,,,,,
570,yes,yes,yes,yes,yes,yes,yes,yes,,
571,yes,,,,yes,,,,,
577,yes,,,,,,,,yes,yes
579,yes,,,yes,,,,,yes,yes
582,,yes,yes,yes,,,,,,
585,yes,,,,yes,,,,,
586,yes,,,yes,yes,,,,yes,yes
589,,yes,yes,yes,,,,,,
590,yes,yes,yes,yes,,,,,,
591,,yes,,yes,,,,,,
594,yes,yes,yes,yes,,yes,,,yes,yes
595,,yes,,yes,,,,,,
599,yes,yes,yes,yes,yes,yes,yes,yes,,
602,,yes,yes,yes,,,,,,
603,yes,,,,yes,,,,yes,yes
604,yes,yes,yes,yes,,yes,yes,yes,yes,yes
605,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
606,,yes,yes,yes,,,,,,
607,yes,yes,yes,yes,yes,yes,,,yes,yes
608,yes,,,,yes,,,,,
609,,yes,yes,yes,,,,,,
612,,yes,yes,yes,,,,,,
613,yes,yes,yes,yes,,,,,yes,yes
616,,yes,yes,yes,,,,,,
617,yes,yes,yes,yes,,yes,,,yes,yes
619,yes,yes,yes,yes,,,,,yes,yes
620,yes,yes,yes,yes,yes,,,,,
622,,yes,,yes,,,,,,
623,,yes,yes,yes,,,,,,
624,yes,yes,yes,yes,,,,,yes,yes
625,,yes,yes,yes,,,,,,
627,yes,yes,yes,yes,,,,,,
629,,yes,yes,yes,,,,,,
630,,yes,yes,yes,,,,,,
631,yes,yes,yes,yes,,,,,yes,yes
634,,,yes,,,,,,,
635,yes,yes,yes,yes,,,,,yes,yes
639,yes,,,,yes,,,,yes,yes
644,,yes,yes,yes,,,,,,
645,,yes,yes,yes,,,,,,
647,,yes,yes,yes,,,,,,
651,yes,yes,yes,yes,,,,,,
652,yes,yes,yes,yes,yes,,yes,yes,yes,yes
653,,yes,yes,yes,,,,,,
654,yes,yes,yes,yes,yes,yes,,,yes,yes
655,,yes,yes,yes,,,,,,
656,yes,yes,yes,yes,,,,,yes,yes
657,yes,yes,yes,yes,yes,,yes,yes,yes,yes
658,yes,,,,yes,,,,,
659,yes,yes,yes,yes,yes,,yes,yes,yes,yes
660,yes,yes,yes,yes,,,,,yes,yes
661,yes,yes,yes,yes,,yes,,,yes,yes
662,yes,yes,yes,yes,yes,,,,,
663,yes,yes,yes,yes,,,,,,
664,yes,yes,yes,yes,,yes,,,yes,yes
666,yes,yes,yes,yes,yes,,yes,yes,,
667,yes,yes,yes,yes,yes,,yes,,,
668,,yes,yes,yes,,,,,,
672,,yes,yes,yes,,,,,,
673,,yes,yes,yes,,,,,,
674,yes,yes,yes,yes,yes,,,,yes,yes
675,yes,yes,,yes,yes,,yes,,,yes
676,yes,yes,yes,yes,,,yes,yes,,
678,,yes,yes,yes,,,,,,
680,yes,yes,yes,yes,,,,,,
681,,yes,yes,yes,,,,,,
683,yes,yes,yes,yes,yes,,yes,yes,,
684,,yes,yes,yes,,,,,,
685,,yes,,yes,,,,,,
686,yes,,,,,,,,,
687,,yes,yes,yes,,,,,,
688,,yes,yes,yes,,,,,,
689,,yes,,,,,,,,
695,yes,yes,yes,yes,,,,,yes,yes
696,,yes,yes,yes,,,,,,
697,yes,yes,yes,yes,,,,,,
698,yes,yes,yes,yes,,,,,yes,yes
699,yes,yes,yes,yes,yes,,yes,,yes,yes
701,yes,yes,yes,yes,yes,,yes,yes,yes,yes
702,,yes,yes,yes,,,,,,
706,,yes,yes,yes,,,,,,
707,yes,yes,yes,yes,,,,,yes,yes
709,yes,,,,,,,,,
710,yes,yes,yes,yes,,,,,,
712,yes,yes,yes,yes,,,,,yes,yes
713,,yes,yes,yes,,,,,,
716,yes,yes,yes,yes,,,,,yes,yes
717,,yes,yes,yes,,,,,,
718,yes,,,,,,,,,
719,,yes,,yes,,,,,,
720,yes,,,yes,,,,,,
721,yes,yes,yes,yes,,,,,,
723,yes,yes,yes,yes,,,,,,
724,yes,yes,yes,yes,,,,,yes,yes
727,yes,yes,,yes,yes,yes,,yes,yes,yes
730,yes,,,,,,,,yes,yes
735,yes,yes,yes,yes,yes,,yes,yes,yes,yes
736,yes,yes,yes,yes,,,,,yes,yes
737,yes,yes,yes,yes,,,yes,,yes,yes
738,yes,yes,yes,yes,,yes,,,yes,yes
739,yes,yes,yes,yes,,,,,,
740,,yes,yes,yes,,,,,,
741,yes,yes,yes,yes,,,,,yes,yes
743,yes,,,,yes,,,,,
744,yes,yes,yes,yes,yes,,yes,yes,yes,yes
747,,yes,yes,yes,,,,,,
749,,yes,yes,yes,,,,,,
750,yes,yes,yes,yes,,,,,,
752,,yes,yes,yes,,,,,,
755,yes,yes,yes,yes,,,,,yes,yes
756,,yes,yes,yes,,,,,,
758,yes,yes,yes,yes,,,,,yes,yes
762,,yes,yes,yes,,,,,,
765,yes,yes,yes,yes,,,,yes,yes,yes
766,yes,yes,yes,yes,yes,yes,,,yes,yes
767,yes,,,,yes,,,,,
772,yes,,,,yes,,,,,
773,yes,,,,yes,,,,,
775,yes,yes,yes,yes,,yes,,,yes,yes
776,yes,yes,yes,yes,,yes,,,,
777,yes,yes,yes,yes,,,,,yes,yes
779,yes,yes,yes,yes,,,,,yes,yes
780,yes,yes,yes,yes,,,,,yes,yes
781,yes,,,yes,,,,,,
787,yes,yes,yes,yes,,,,,yes,yes
788,yes,,,,yes,,,,yes,yes
789,yes,,,,yes,,,,,
790,,yes,,yes,,,,,,
791,,yes,yes,yes,,,,,,
792,yes,yes,yes,yes,,,yes,yes,yes,yes
794,,yes,yes,yes,,,,,,
796,yes,yes,yes,yes,yes,,yes,yes,,
797,yes,yes,yes,yes,,yes,,,yes,yes
798,,yes,yes,yes,,,,,,
799,,yes,yes,yes,,,,,,
800,yes,yes,yes,yes,,,,,yes,yes
801,,yes,yes,yes,,,,,,
802,,yes,yes,yes,,,,,,
803,,yes,yes,yes,,,,,,
804,yes,yes,yes,yes,,,,,yes,yes
805,yes,yes,yes,yes,,,,,,
806,,yes,yes,yes,,,,,,
807,yes,yes,yes,yes,yes,,yes,,yes,yes
808,,yes,,yes,,,,,,
809,,yes,yes,yes,,,,,,
810,yes,yes,yes,yes,yes,,,yes,yes,yes
811,yes,,,,yes,,,,,
813,yes,yes,yes,yes,,,,,,
816,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
821,yes,yes,yes,yes,yes,,,,,
822,yes,yes,yes,yes,yes,yes,,,yes,yes
826,,yes,,yes,,,,,,
827,,yes,yes,yes,,,,,,
828,yes,yes,yes,yes,,,,,yes,yes
829,yes,,,,yes,,,,,
830,,yes,yes,yes,,,,,,
831,,yes,yes,yes,,,,,,
834,yes,yes,yes,yes,yes,,yes,yes,yes,yes
837,yes,yes,yes,yes,yes,,yes,yes,,
839,,yes,yes,yes,,,,,,
841,,yes,yes,yes,,,,,,
842,yes,yes,yes,yes,,yes,,,yes,yes
843,,,,yes,,,,,,
844,,yes,,yes,,,,,,
847,yes,yes,yes,yes,,,,,yes,yes
848,yes,,,,,,,,,
850,yes,,,,yes,,,,,
851,yes,yes,yes,yes,yes,,,yes,yes,yes
852,yes,,,yes,,,,,yes,yes
853,,yes,yes,yes,,,,,,
854,yes,yes,yes,yes,,,,,yes,yes
856,yes,yes,,yes,yes,,yes,yes,yes,yes
857,yes,yes,yes,yes,,yes,,,yes,yes
861,,yes,yes,yes,,,,,,
866,,yes,yes,yes,,,,,,
867,,yes,yes,yes,,,,,,
868,yes,yes,yes,yes,,,,,yes,yes
872,yes,yes,yes,yes,,,,,,
873,yes,yes,yes,yes,,,,yes,yes,yes
874,yes,,,,,,,,yes,yes
875,yes,yes,,yes,yes,yes,yes,yes,,
878,yes,,,,yes,,,,,
882,,yes,yes,yes,,,,,,
884,yes,yes,yes,yes,,,,,yes,yes
885,yes,yes,yes,yes,,,,,yes,yes
886,yes,yes,yes,yes,,,,,yes,yes
889,yes,yes,yes,yes,,,,,yes,yes
890,,yes,,,,,,,,
891,yes,,,,,,,,yes,yes
893,yes,yes,yes,yes,,,,,yes,yes
894,yes,,,,,,,,yes,yes
898,yes,,,,yes,yes,,,yes,yes
903,yes,yes,yes,yes,yes,,yes,yes,yes,yes
906,yes,,,,yes,,,,,
907,,yes,yes,yes,,,,,,
909,,yes,yes,yes,,,,,,
911,yes,yes,yes,yes,,,,yes,,
912,yes,yes,yes,yes,,yes,,,yes,yes
915,yes,yes,yes,yes,,,,,yes,yes
916,yes,,,,yes,,,,yes,yes
917,yes,yes,yes,yes,yes,,yes,,yes,yes
919,,yes,yes,yes,,,,,,
922,,yes,yes,yes,,,,,,
923,,yes,yes,yes,,,,,,
925,yes,yes,yes,yes,,,,,,
926,yes,,,yes,,,,,,
930,,yes,yes,yes,,,,,,
934,,yes,yes,yes,,,,,,
935,yes,,,,,,,,yes,yes
936,yes,,,,,,,,yes,yes
938,yes,yes,yes,yes,,,,,,
940,yes,yes,yes,yes,,,,,,
942,,,,yes,,,,,,
943,,yes,yes,yes,,,,,,
945,yes,,,,,,,,yes,yes
951,,yes,yes,yes,,,,,,
955,,yes,yes,yes,,,,,,
956,yes,yes,yes,yes,yes,,yes,yes,yes,yes
957,yes,yes,yes,yes,yes,,yes,,yes,yes
958,yes,yes,yes,yes,,,,,yes,yes
967,yes,yes,yes,yes,yes,,yes,yes,,
970,,yes,yes,yes,,,,,,
977,yes,yes,yes,yes,,,,,yes,yes
979,yes,yes,yes,yes,,,,,yes,yes
981,yes,yes,yes,yes,,,,,,
983,,yes,yes,yes,,,,,,
985,,yes,yes,yes,,,,,,
986,yes,yes,yes,yes,yes,,yes,,,
989,yes,yes,yes,yes,,,,,yes,yes
994,yes,yes,yes,yes,,yes,,,yes,yes
996,yes,yes,yes,yes,,,,,,
1000,,yes,,yes,,,,,,
1001,,yes,yes,yes,,,,,,
1002,yes,yes,yes,yes,yes,yes,,,yes,yes
1003,,yes,yes,yes,,,,,,
1005,,yes,yes,yes,,,,,,
1007,yes,,,,yes,,,,,
1009,yes,yes,yes,yes,,,,,yes,yes
1011,yes,,,,yes,,,,,
1014,,yes,yes,yes,,,,,,
1016,,yes,yes,yes,,,,,,
1017,yes,yes,yes,yes,,,,yes,yes,yes
1021,,yes,yes,yes,,,,,,
1025,yes,,,,yes,,,,,
1027,,yes,yes,yes,,,,,,
1030,yes,,,,yes,,,,,
1031,yes,yes,yes,yes,yes,yes,,,,yes
1033,yes,yes,yes,yes,,,,,yes,yes
1034,yes,yes,yes,yes,yes,yes,,,yes,yes
1035,yes,yes,yes,yes,yes,,yes,,,
1036,yes,yes,yes,yes,,,,,,
1038,yes,yes,yes,yes,,,,,yes,yes
1039,,yes,yes,yes,,,,,,
1040,yes,yes,yes,yes,,yes,yes,yes,yes,yes
1041,yes,yes,,yes,,,,,,
1042,,yes,yes,yes,,,,,,
1043,yes,yes,yes,yes,,,,,yes,yes
1047,yes,,,,,,,,,
1051,yes,,,,,,,,yes,yes
1055,yes,yes,yes,yes,,,,,,
1058,,yes,yes,yes,,,,,,
1059,yes,,,yes,,,,,yes,yes
1060,yes,,,,yes,,,,,
1062,,yes,yes,yes,,,,,,
1063,yes,yes,yes,yes,,,,,yes,yes
1067,yes,yes,yes,yes,yes,yes,,,,yes
1068,yes,yes,yes,yes,,,,,yes,yes
1069,yes,yes,yes,yes,,,,,,
1072,yes,yes,yes,yes,,,,,,
1073,yes,,,,yes,,,,,
1078,yes,,,,yes,,,,,
1079,yes,yes,yes,yes,yes,yes,,,yes,yes
1081,,yes,yes,yes,,,,,,
1082,,yes,yes,yes,,,,,,
1084,yes,,,yes,,,,,yes,yes
1085,,yes,yes,yes,,,,,,
1086,,yes,yes,yes,,,,,,
1088,yes,yes,yes,yes,yes,,yes,yes,yes,yes
1089,yes,yes,yes,yes,yes,,,,yes,yes
1091,,yes,,yes,,,,,,
1092,yes,yes,yes,yes,,,yes,yes,yes,yes
1094,,yes,yes,yes,,,,,,
1095,,yes,yes,yes,,,,,,
1097,yes,,,,,,,,,
1098,yes,yes,yes,yes,yes,,,,yes,yes
1099,yes,yes,yes,yes,,,,,yes,yes
1101,,yes,yes,yes,,,,,,
1102,yes,,,,,,,,,
1103,yes,yes,yes,yes,,,,,yes,yes
1104,,yes,yes,yes,,,,,,
1105,,yes,yes,yes,,,,,,
1106,,yes,yes,yes,,,,,,
1107,yes,yes,yes,yes,,,,,yes,yes
1108,yes,yes,yes,yes,,,,,yes,yes
1109,,yes,yes,yes,,,,,,
1110,yes,yes,yes,yes,yes,,,,yes,yes
1112,yes,yes,yes,yes,,,yes,yes,,
1113,yes,,,yes,,,,,yes,yes
1114,,yes,yes,yes,,,,,,
1115,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
1119,,yes,yes,yes,,,,,,
1120,yes,yes,yes,yes,,,,,yes,yes
1124,yes,yes,yes,yes,,,,yes,,
1126,yes,,,yes,yes,,,,yes,yes
1127,yes,yes,yes,yes,,,,,yes,yes
1131,yes,yes,yes,yes,yes,,,,yes,yes
1132,,yes,yes,yes,,,,,,
1136,yes,yes,yes,yes,,,,,yes,yes
1137,yes,,,,yes,,yes,yes,yes,yes
1138,,yes,yes,yes,,,,,,
1140,yes,yes,yes,yes,yes,yes,,,yes,yes
1141,yes,yes,yes,yes,yes,yes,,,,
1144,yes,,,,yes,,,,,
1145,,yes,yes,yes,,,,,,
1146,yes,yes,yes,yes,yes,,yes,yes,yes,yes
1149,,yes,yes,yes,,,,,,
1150,yes,,,,yes,,,,yes,yes
1151,yes,yes,yes,yes,,,,,,
1154,,yes,yes,yes,,,,,,
1155,yes,,,,,,,,yes,yes
1156,yes,yes,yes,yes,,,,,yes,yes
1157,,yes,yes,yes,,,,,,
1159,yes,yes,,yes,,,,,,
1161,yes,yes,yes,yes,,,,,,
1163,yes,yes,yes,yes,,,yes,yes,yes,yes
